id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
131815,The Sea Serpent,/u04cvzPQTmz60zxTbXFCgPH3ncO.jpg,0.3333,0.3784,/u04cvzPQTmz60zxTbXFCgPH3ncO.jpg,0.3333,0.3784,0.0,0.0,1,0,no
135973,Pennhurst,/mFjoBkzeDbBmxM8jVfYcHOmmIac.jpg,0.0,0.1667,/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg,1.0,0.1295,1.0,-0.0372,2,1,overlap_gain
144839,Evil Stalks This House,/e79AoyQhHzuzFR4yPY5ewQqhAFp.jpg,0.0,0.4545,/62F7aEOKyqmfkDtG4fN9YZasGsY.jpg,1.0,1.0,1.0,0.5455,2,1,overlap_gain
144909,Charm,/pS9d7Qz5IjbOzJr1XJPNhuaUm4r.jpg,0.0,0.098,/pS9d7Qz5IjbOzJr1XJPNhuaUm4r.jpg,0.0,0.098,0.0,0.0,1,0,no
163543,Shelf Life,/mCwnXpiPIyCMeWnIGVzsdRs6PqW.jpg,0.0,0.086,/75jaF5REzdTuGUTs4fZoNkk0iHZ.jpg,1.0,0.0036,1.0,-0.0824,2,1,overlap_gain
164423,Ghost of the Needle,/1LS2hvSXLx7T8CWUgpcUwwBHC46.jpg,0.25,0.0369,/1LS2hvSXLx7T8CWUgpcUwwBHC46.jpg,0.25,0.0369,0.0,0.0,1,0,no
192252,The Princess and Toxicant,/lGlYpE4BX691WjjvoKCSFtspKg7.jpg,0.0,0.2581,/es37DEHY8Kx6SxXZrwGdhnKvVLe.jpg,0.0,0.0645,0.0,-0.1936,1,0,no
192573,Zapatlela,/r7lWqWPUXJ3gqjNQubgaOCSI0tR.jpg,0.0,0.0927,/w4GMCJhPbrJN681t6UiaoQgsxo7.jpg,0.0,0.0781,0.0,-0.0146,1,0,no
200377,The Evolution of Snuff,/8o6H3httwOtAWQPOIXHm9qUKKbd.jpg,0.25,0.2759,/8o6H3httwOtAWQPOIXHm9qUKKbd.jpg,0.25,0.2759,0.0,0.0,1,0,no
200672,Torro. Torro. Torro!,/3sCzrtgWaimNKVXk9FHRPx0Q2I4.jpg,0.0,0.0245,/3sCzrtgWaimNKVXk9FHRPx0Q2I4.jpg,0.0,0.0245,0.0,0.0,1,0,no
